"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"B__",148,0.150651283783784,0.285320574324324,0.0139452369698602,1,-9.65700983293443,0.0099009900990099,100
"F_2_15",798,0.0965915037593985,0.159274452380952,0.00392888206849339,1,-15.9543981032729,0.0099009900990099,100
"F_2_28",1278,0.0818627151799687,0.133306236932707,0.00263690034056045,1,-19.5090883646383,0.0099009900990099,100
"F_2_33",1059,0.0853686213408876,0.143067651463645,0.00289725646769771,1,-19.9150578369776,0.0099009900990099,100
"F_2_9",1553,0.084685003219575,0.123570308757244,0.00215923915627654,1,-18.0087997314407,0.0099009900990099,100
"F_2.5_13",1162,0.0877001721170396,0.138833627452668,0.00249057412893349,1,-20.53079036741,0.0099009900990099,100
"F_2.5_14",2241,0.0770843953592146,0.107123584471218,0.00147639631926119,1,-20.3462909789937,0.0099009900990099,100
"F_2.5_16",2701,0.0761497371343947,0.099677144353943,0.00117710697429005,1,-19.987484343756,0.0099009900990099,100
"F_2.5_27",1987,0.074345868142929,0.112363253548062,0.00171994438139679,1,-22.1038458082342,0.0099009900990099,100
"F_2.5_3",3443,0.073789436537903,0.0905269459192565,0.000854933479002602,1,-19.5775575438689,0.0099009900990099,100
"F_2.5_30",941,0.0871342401700319,0.149614987460149,0.00305525759889204,1,-20.4502387336423,0.0099009900990099,100
"F_2.5_31",2216,0.0808428745487365,0.107750844314079,0.00150561958554305,1,-17.8716921749113,0.0099009900990099,100
"F_2.5_42",2330,0.0726240515021459,0.10563373167382,0.00121548576246589,1,-27.1576033146666,0.0099009900990099,100
"F_2.5_49",2145,0.0713214032634033,0.109200355384615,0.0013822687861283,1,-27.4034634228485,0.0099009900990099,100
"F_3_12",2431,0.071399099136158,0.103899672027972,0.00131356752788408,1,-24.7422170553854,0.0099009900990099,100
"F_3_20",1844,0.0795049945770065,0.115510975596529,0.00168490305995827,1,-21.369764157479,0.0099009900990099,100
"F_3_22",1570,0.0805986624203822,0.123003266815287,0.00208192508109849,1,-20.3679780698595,0.0099009900990099,100
"F_3_23",1864,0.0763315021459227,0.115341134066524,0.00172823629313242,1,-22.5719319028396,0.0099009900990099,100
"F_3_44",1202,0.0832439683860233,0.136679824292845,0.00291876861729467,1,-18.3076711152083,0.0099009900990099,100
"H_2.5_13",559,0.109567262969589,0.180292075670841,0.00486644652008727,1,-14.5331531764134,0.0099009900990099,100
"H_2.5_3",622,0.103794324758842,0.174141581672026,0.00476382295643561,1,-14.7669755061214,0.0099009900990099,100
"H_2.5_42",961,0.0852132049947971,0.148585942559834,0.00334090732147942,1,-18.9687206099969,0.0099009900990099,100
"K_2.5_13",20,0.286264,0.50609462,0.0603396492436697,1,-3.64322005108544,0.0099009900990099,100
"K_2.5_14",538,0.115988048327138,0.183490869888476,0.0051473793885431,1,-13.1140171465861,0.0099009900990099,100
"K_2.5_16",1379,0.104558237853517,0.129666638071066,0.00238501601918273,1,-10.527560408652,0.0099009900990099,100
"K_2.5_27",15,0.481816666666667,0.545433313333333,0.0770803242183554,23,-0.825329256354081,0.227722772277228,100
"K_2.5_3",3128,0.0808059718670077,0.0940540518542199,0.00100321311090628,1,-13.2056487731149,0.0099009900990099,100
"K_2.5_30",46,0.243708260869565,0.405913810869565,0.0347444168745708,1,-4.66853568403726,0.0099009900990099,100
"K_2.5_42",642,0.117845825545171,0.171936799065421,0.00434442637791069,1,-12.4506594921888,0.0099009900990099,100
"K_2.5_49",32,0.27010625,0.4566919,0.0470077424230608,1,-3.96925358211769,0.0099009900990099,100
"K_3_12",574,0.110252473867596,0.179452632055749,0.0052579521691135,1,-13.1610474881556,0.0099009900990099,100
"K_3_20",51,0.247601568627451,0.394852339215686,0.0343131026480241,1,-4.2913860660955,0.0099009900990099,100
"K_3_22",76,0.210622368421053,0.350791103947368,0.0265675421159891,1,-5.27593914839258,0.0099009900990099,100
"K_3_23",120,0.190907166666667,0.302084050833333,0.0171079861849986,1,-6.49853717231511,0.0099009900990099,100
"K_3_44",40,0.2371815,0.4212773025,0.0367620177416308,1,-5.00777198340564,0.0099009900990099,100
"Q_2_33",1158,0.0844660880829016,0.138604229533679,0.00292294910536459,1,-18.5217530306688,0.0099009900990099,100
"Q_2.5_13",1702,0.0775396004700352,0.119359886839013,0.00181808596216822,1,-23.0023702064689,0.0099009900990099,100
"Q_2.5_14",2587,0.0692065481252416,0.101490742404329,0.00117773269860957,1,-27.4121575440697,0.0099009900990099,100
"Q_2.5_16",2931,0.0809907813033094,0.0965572995223473,0.00119008302485167,1,-13.0801951577942,0.0099009900990099,100
"Q_2.5_27",2088,0.073471245210728,0.110133813457854,0.00150538887148366,1,-24.3542176653618,0.0099009900990099,100
"Q_2.5_3",1464,0.0815031830601093,0.126530199385246,0.00220914160198972,1,-20.382132265574,0.0099009900990099,100
"Q_2.5_30",1030,0.082879213592233,0.144788901262136,0.00308547236821377,1,-20.0648977795719,0.0099009900990099,100
"Q_2.5_31",2328,0.0772238015463917,0.105513228565292,0.00149090256304529,1,-18.9746987630881,0.0099009900990099,100
"Q_2.5_42",2568,0.0707746767912773,0.101711997040498,0.00113875039576517,1,-27.1677800194601,0.0099009900990099,100
"Q_2.5_49",1778,0.0787050112485939,0.117396375421822,0.00174045122933047,1,-22.2306511789546,0.0099009900990099,100
"Q_3_12",2461,0.0836186956521739,0.103244028809427,0.00113467167112209,1,-17.2960457696502,0.0099009900990099,100
"Q_3_20",952,0.0936482352941176,0.149354643907563,0.00310597745334831,1,-17.9352263337883,0.0099009900990099,100
"Q_3_22",475,0.123990126315789,0.192228896421053,0.0059918291865435,1,-11.3886374228615,0.0099009900990099,100
"Q_3_23",274,0.11457496350365,0.231964051094891,0.00957947627437455,1,-12.2542281257339,0.0099009900990099,100
"Q_3_44",1817,0.079500489818382,0.116402223390204,0.00165544120469864,1,-22.2911774015794,0.0099009900990099,100
"S_2_15",1672,0.0751546889952153,0.120041407416268,0.00176286544589843,1,-25.4623621589999,0.0099009900990099,100
"S_2_28",2205,0.0703836961451247,0.10771240553288,0.00144852916646723,1,-25.7700778499303,0.0099009900990099,100
"S_2_31",1737,0.0745934599884859,0.118353161773172,0.00182747952116044,1,-23.9453855859896,0.0099009900990099,100
"S_2_33",1752,0.0729948515981735,0.117854890296804,0.00170529569929082,1,-26.30631081594,0.0099009900990099,100
"S_2_9",845,0.093215775147929,0.156401049230769,0.00370962422251744,1,-17.0327963946605,0.0099009900990099,100
"S_2.5_13",1527,0.079663163064833,0.124539254223969,0.00209709967263872,1,-21.3991217225594,0.0099009900990099,100
"S_2.5_14",2396,0.0721602003338898,0.104555748372287,0.00132842963397543,1,-24.3863485199823,0.0099009900990099,100
"S_2.5_16",1564,0.0785893414322251,0.123193065409207,0.00219761194726971,1,-20.296451351385,0.0099009900990099,100
"S_2.5_27",1954,0.0730373336745138,0.113027278761515,0.00168454178468966,1,-23.7393607273259,0.0099009900990099,100
"S_2.5_3",1905,0.0742679790026247,0.114326962099738,0.00174480411393638,1,-22.9590145834408,0.0099009900990099,100
"S_2.5_49",2918,0.0678358327621659,0.0967947480808773,0.00123383901725963,1,-23.4705783441908,0.0099009900990099,100
"S_3_12",2128,0.0763681719924812,0.109478517152256,0.00151947123908521,1,-21.7907021258976,0.0099009900990099,100
"S_3_20",2186,0.0710840713632205,0.108098883165599,0.00146977375982125,1,-25.1840200269192,0.0099009900990099,100
"S_3_22",2041,0.0723574326310632,0.111243687604116,0.00140251130492484,1,-27.7261615193442,0.0099009900990099,100
"S_3_23",553,0.100449620253165,0.182474453345389,0.00476120865019108,1,-17.2277333590353,0.0099009900990099,100
"S_3_44",1792,0.0775384263392857,0.117232107533482,0.0017573108831505,1,-22.5877399239876,0.0099009900990099,100
