"F_2.5_13","F_2.5_14","F_2.5_16","F_2.5_27","F_2.5_3","F_2.5_30","F_2.5_31","F_2.5_42","F_2.5_49","Q_2.5_13","Q_2.5_14","Q_2.5_16","Q_2.5_27","Q_2.5_3","Q_2.5_30","Q_2.5_31","Q_2.5_42","Q_2.5_49"
"1",5.53401038140375,7.19464379748739,13.5511321748289,8.8723087339201,14.1764537726623,11.4955540510043,15.2260287369292,10.498909200331,8.72248551869405,8.57260212141728,12.8039720153464,12.5449484691191,12.1025803054239,9.06422929361318,9.32511848341232,16.088467614534,14.9184683668096,10.9782592341834
"2",4.93892434364121,6.09070422321926,11.7553699831153,7.97669834117794,11.5414261274804,9.91374278884616,12.7507749454928,9.07895649906677,7.78283516449542,7.70309047116361,10.9543824766036,10.9063051380932,10.247358054866,8.05504213754499,8.25851096582418,13.2685317034584,12.4117963987966,9.58817928414387
"3",4.39541722561254,5.16360182943853,10.148341957808,7.16812308656487,9.35302154242212,8.55537857542035,10.6421768872423,7.87014540127005,6.92637342573073,6.93017909024827,9.37426718061247,9.4339500002328,8.66700832905562,7.18140152239787,7.31641043713662,10.9029374213834,10.3264003716171,8.36636001086765
"4",3.90890680157772,4.40379998529634,8.73651874914979,6.44709022306133,7.58144990110439,7.40454254097562,8.88590659574658,6.85869589824596,6.15728219757361,6.24700722946078,8.04573092921636,8.13628288077715,7.34787600745705,6.43036643907332,6.49764706545885,8.96981435525356,8.6278185628932,7.30936493112064
"5",3.48203474907552,3.79426095145444,7.51950135707016,5.81162952978471,6.18180602536349,6.44158246926938,7.45465087733728,6.02439668205677,5.47702519156035,5.6464710012445,6.94406903918561,7.01529453566553,6.26651525244038,5.78794580727583,5.79641380942824,7.42836949056916,7.26873322884155,6.40806833460733
"6",3.11443046408125,3.31323207519014,6.4895588321577,5.25748327993245,5.09877022219169,5.64430061788596,6.3104726807195,5.34331403189794,4.88405964243075,5.12135188138881,6.04037649822365,6.06572786095921,5.39281121457549,5.2400830001702,5.20312063139157,6.22414309951789,6.19535177037095,5.64884318816944
"7",2.80299009441588,2.93754142085706,5.63233086825922,4.77855098199786,4.27338045350116,4.9894788242004,5.40935250698492,4.79060138854335,4.37397837006586,4.66441389307025,5.30442829367295,5.27553010816922,4.69385424809242,4.77341553276796,4.70570318462897,5.29689562096901,5.35388625848148,5.01522968947619
"8",2.54256741841169,2.64534114996516,4.92860592671252,4.36749513122034,3.64964093061457,4.45440508208761,4.70640861302937,4.34275547166057,3.94005793984994,4.26850077742495,4.70718068165647,4.6275287463867,4.13748759807141,4.37576529265909,4.29103851740656,4.58830698938148,4.69545004232523,4.48968836229383
"9",2.32684969217607,2.41774768404334,4.35668396046944,4.01638510502174,3.17905877125288,4.01809955215159,4.16020095806781,3.97901267658813,3.57406563438452,3.92664731299308,4.22248862939807,4.10179650039088,3.6947855256397,4.03638035154116,3.94616126635556,4.04726906065205,4.17867809512066,4.05508762259625
"10",2.14918258455062,2.23941239138031,3.89467804890097,3.71726973565255,2.82250615877782,3.66208043691713,3.73525843402382,3.68192422394899,3.26712226527009,3.63220059221486,3.82796167523658,3.67799376189634,3.3412758284649,3.74598593796802,3.65911281249568,3.63215829164105,3.77033877621884,3.69573252883555
"11",2.00319199878073,2.09836982636706,3.52226196198832,3.46261115866537,2.54997457433508,3.37066988572882,3.40286604789168,3.43733882919108,3.01044566150062,3.37893576576598,3.50511988152235,3.33715051384711,3.0571463350329,3.49671089044207,3.41940293889239,3.31076902111621,3.44466399475313,3.3979125253347
"12",1.88315879629256,1.98553646482089,3.22167935550524,3.2455603859084,2.33920472329894,3.13094507315825,3.14066297707203,3.23405267850656,2.79587877331281,3.16114920942388,3.23910292576386,3.06269199904075,2.82683135094896,3.28194696088686,3.218158230149,3.05899541517773,3.18210882866423,3.15006011725467
"13",1.78418022594997,1.89412042787427,2.97809595848609,3.06009108809443,2.17400006934759,2.9324722249222,2.9316656737553,3.06332903188362,2.61618850503909,2.97371778232781,3.0181638719764,2.84079744577378,2.63832868578819,3.09618243031618,3.0480635200322,2.85913350628789,2.96801959019946,2.94265299502375
"14",1.70218372182366,1.81907818568769,2.77950202358641,2.90102613579708,2.04267523001991,2.76694351877333,2.76315599906726,2.91841168544175,2.46517520195223,2.81212117981265,2.83310934484664,2.66030935354155,2.48247641979761,2.93483584535818,2.9031925834073,2.69828934909907,2.79145129731807,2.76798057534257
"15",1.63385703224526,1.75666829583467,2.61637613580639,2.76399441062133,1.93680610839555,2.62779915766813,2.62566773436357,2.79409307432106,2.337652588662,2.67243145652708,2.67677699474563,2.51240926309643,2.35230546173253,2.79410354705503,2.77879719262869,2.56707947601548,2.64421442395716,2.61986222318627
"16",1.576542173419,1.70410675389098,2.48126597941626,2.64534961732925,1.85029249397939,2.50988056806216,2.51215719101165,2.68635746282155,2.22935420756072,2.55127781516054,2.54358935139152,2.39021538511307,2.24250848897866,2.67082660697408,2.67109628880392,2.45864488390153,2.52014707303925,2.49336966007295
"17",1.5281225798414,1.65930990606227,2.36837774896909,2.54207399774838,1.7786821343927,2.40913422886986,2.4173638388627,2.59209840450633,2.13680827573499,2.44579577405231,2.4291923343795,2.2883913533068,2.14902568181331,2.56237809573562,2.57708629461055,2.36793251296508,2.41457604192725,2.38457953273455
"18",1.48691875630179,1.62070629889937,2.2732169756927,2.4516814507831,1.71869318801707,2.32236968693216,2.33733387584181,2.50890062941775,2.05720760115986,2.35356882023509,2.33017150968892,2.20280640860398,2.06873088122947,2.46656924417842,2.49438038341129,2.29118269870071,2.32392411012554,2.29036522201846
"19",1.45159867753752,1.5871002628159,2.19229354063685,2.37212805500093,1.66787973135,2.24706726848624,2.26907172307419,2.43487414061314,1.98828901974123,2.27256871844679,2.24383353925183,2.13025813560538,1.99919765390356,2.38157210606426,2.42107720308122,2.22556701733063,2.24542574995845,2.20822772640276
"20",1.421104119872,1.55757331495142,2.1228883056051,2.30173357045679,1.62439773752639,2.18122788708279,2.21028731136871,2.36852900973787,1.92822863041725,2.20109858443411,2.16803958958392,2.06825439485603,1.93852625895852,2.30585614589357,2.35565610414113,2.16893289994324,2.17692138862829,2.13616122582613
"21",1.39459167234371,1.53141283266,2.06287256169918,2.2391148025787,1.58684075867779,2.1232569045087,2.15921326441673,2.30868119081761,1.87555427964589,2.13774107500333,2.10107893915745,2.01484547703444,1.88521591702836,2.23813635296051,2.29689471123924,2.11962301137694,2.1167079476758,2.07254757681247
"22",1.37138625371157,1.50806027208381,2.01057010279241,2.18313024467141,1.55412379134265,2.07187478022797,2.1144724100638,2.25438167517307,1.82907425588675,2.08131274531663,2.04157315594505,1.96849645846294,1.83807034446633,2.17733079748119,2.24380461969992,2.07634672619946,2.06342956149262,2.01607408220108
"23",1.35094482222721,1.48707337766345,1.96465252784817,2.13283473674133,1.52540050717053,2.02604844253844,2.07498133141457,2.20486309783431,1.78782009886607,2.03082475884543,1.98840330979739,1.92799068540926,1.79612757636505,2.12252588263924,2.19558145219972,2.0380879313346,2.01599702559129,1.96566958153089
"24",1.33282817647788,1.46809842586413,1.924059931865,2.08744266213919,1.50000370703951,1.98493853408017,2.03987971398326,2.15949936189379,1.75100116726477,1.98544962036094,1.94065447379914,1.89235690647939,1.75860751002035,2.07294785754043,2.15156612868349,2.00403826798488,1.9735278870299,1.92045478000407
"25",1.3166790779183,1.45084969382744,1.88794077979884,2.04629823474252,1.47740205665435,1.94785875916807,2.0084782085019,2.11777497760178,1.71796873924755,1.94449333743767,1.89757319737179,1.8608141846279,1.72487240859563,2.02793942322198,2.11121481721745,1.97354830735633,1.93530146884956,1.87970356824657
"26",1.3022052675087,1.43509415766538,1.85560619678068,2.00885157632215,1.45716833378498,1.9142444425562,1.98021964932548,2.0792616670176,1.6881877116218,1.90737231449554,1.85853473199779,1.83273011332801,1.69439692774384,1.98694048537901,2.07407557449264,1.94609147249686,1.90072478741938,1.84281280192591
"27",1.28916625329296,1.42063999937773,1.82649507563915,1.97463947127411,1.43895588944677,1.88362810472638,1.95464996715551,2.04360042047037,1.6612142933736,1.87359428001607,1.82301761636699,1.80758897809147,1.66674518245096,1.9494722879553,2.03977013208256,1.92123710166954,1.86930648566441,1.80927859248897
"28",1.27736299849053,1.40732790600109,1.80014730964481,1.94326987454432,1.42248102567604,1.85562039425457,1.93139618885293,2.01048766014634,1.63667840000263,1.8427425971976,1.7905838414886,1.78496736395442,1.64155305539163,1.91512430760632,2.00797964142728,1.89863013110466,1.84063671904155,1.77867761811349
"29",1.26662984142655,1.39502443014032,1.7761831453865,1.91440941982909,1.40750967586429,1.82989512431336,1.91014965793588,1.97966451125317,1.61426972366115,1.81446338209339,1.76086326964877,1.76451535586046,1.61851443732801,1.88354340656146,1.97843346902614,1.87797561799616,1.81437150259784,1.75065231721249
"30",1.25682813596271,1.38361688321847,1.75428716376474,1.88777332219599,1.39384724356224,1.80617746654552,1.89065313123682,1.95090843512612,1.59372667559829,1.78845493391994,1.73354131528226,1.74594195863233,1.59737044045539,1.85442483606228,1.95090034778836,1.85902683766288,1.79022043119986,1.7248990964143
"31",1.24784122208588,1.37300937659921,1.73419577739973,1.86311719139943,1.38133078140623,1.78423458527535,1.87269077638936,1.92402666580444,1.57482757498381,1.76445906017292,1.70834914235357,1.72900371695837,1.57790087739606,1.82750475885295,1.92518135433289,1.84157604560566,1.76793697241533,1.70115888949818
"32",1.23957042860262,1.36311972858372,1.71568741375247,1.84023037146754,1.36982291950014,1.76386816722117,1.85608035743211,1.898851030007,1.55738359807836,1.74225394975495,1.68505581516335,1.71349577595422,1.55991748040604,1.80255402079576,1.90110430665673,1.82544724533056,1.74731073777203,1.67920955863035
"33",1.23193187998195,1.35387702926293,1.69857476081223,1.81893050178185,1.3592071131023,1.7449084310602,1.84066708380082,1.87523383318157,1.54123311074039,1.721648308712,1.66346197483805,1.69924481418588,1.54325846750331,1.77937295148984,1.87851927121788,1.81049047966319,1.72816128739679,1.65885974650357
"34",1.22485393253639,1.34521970874616,1.68269860575943,1.79905905819485,1.34938389361933,1.72720929833871,1.82631873345506,1.8530445709073,1.5262370916835,1.70247652522595,1.64339471468841,1.68610342204477,1.52778415888646,1.75778701410724,1.85729494032518,1.79657728942242,1.71033313201959,1.63994387692122
"35",1.21827510543812,1.33709399327877,1.66792291095429,1.78047768280739,1.3402678887905,1.71064448049935,1.81292175921274,1.8321672822945,1.51227541905066,1.68459467388149,1.62470340326934,1.67394560262949,1.51337341821962,1.73764315737537,1.83731569534352,1.78359707409687,1.69369167657672,1.62231806901973
"36",1.2121424026811,1.32945266233806,1.65413085647508,1.76306515050936,1.33178543718021,1.69510429228938,1.80037815924371,1.81249840516904,1.4992438430872,1.66787720493558,1.60725626097798,1.66266314971165,1.49992074619778,1.71880674920834,1.81847921283006,1.77145415507386,1.67811990923376,1.60585678197003
"37",1.20640994540949,1.32225404087324,1.64122164193388,1.74671485147604,1.32387266530166,1.68049304401696,1.78860294559879,1.79394502540819,1.48705150640651,1.65221419348293,1.59093753922149,1.65216271513161,1.48733389330408,1.70115899310345,1.80069450250195,1.76006539024105,1.66351568425408,1.59045004659082
"38",1.201037851836,1.31546117649809,1.62910788804262,1.73133269329181,1.31647392746368,1.66672689736572,1.77752208389829,1.77642343749283,1.47561890322538,1.63750904709984,1.57564518410068,1.64236342129917,1.47553188841178,1.68459474602431,1.78388029029563,1.74935822443998,1.64978948078908,1.57600117079163
"39",1.1959913156213,1.30904116312662,1.61771351448108,1.71683534566591,1.3095405319748,1.6537320942293,1.76707080661566,1.75985795213195,1.46487619206275,1.62367658972223,1.56128889177727,1.6331949071498,1.46444340243849,1.66902067085126,1.76796367851295,1.73926908681353,1.63686254524273,1.56242482934477
"40",1.19123984408813,1.30296458132017,1.60697199802433,1.70314876593536,1.30302969491583,1.64144348711819,1.75719222443351,1.74417990116024,1.45476179432654,1.61064145499973,1.5477884821268,1.62459572068712,1.4540053834866,1.65435366820833,1.75287902951275,1.72974206603677,1.62466534444039,1.54964546681241
"41",1.1867566257606,1.29720503224903,1.59682493581284,1.6902069555998,1.29690367591302,1.62980331448802,1.74783617683581,1.72932680089502,1.44522122516557,1.59833673486255,1.53507253233561,1.61651199013998,1.44416191314892,1.64051954206982,1.73856703061466,1.72072780951779,1.61313627192025,1.53759595676563
"42",1.18251800301866,1.29173874721709,1.58722085471094,1.67795090769045,1.29112906035646,1.61876017586104,1.73895827581586,1.71524164357816,1.4362061138575,1.58670283911858,1.52307722382828,1.60889632025495,1.43486324390992,1.6274518614086,1.72497390660247,1.712182604166,1.60222056136803,1.5262164716585
"43",1.17850303056932,1.28654425855671,1.57811422009135,1.6663277123788,1.28567616014477,1.6082681706286,1.73051910633044,1.70187229303045,1.42767337954074,1.57568653003337,1.51174536509413,1.6017068714218,1.42606498555672,1.61509098659588,1.71205075302508,1.70406760516663,1.59186937034921,1.5154535265682
"44",1.17469310428156,1.28160212066896,1.5694646069937,1.6552897942972,1.28051851089804,1.59828617150961,1.72248355465466,1.6891709656706,1.41958453481399,1.56524010241905,1.50102556020825,1.59490658799502,1.4177274147701,1.60338323456075,1.69975296883413,1.69634818603593,1.58203900466124,1.50525916701677
"45",1.17107164795706,1.27689467228011,1.56123600409362,1.64479425990124,1.275632448109,1.58877720923589,1.71482024163191,1.67709378194593,1.41190509503086,1.55532068507507,1.49087149855835,1.58846254892997,1.40981488699567,1.59228016107818,1.68803977110147,1.68899338855276,1.57269025928783,1.49559027666009
"46",1.16762384799815,1.27240583277104,1.55339622678456,1.63480233710569,1.27099674822114,1.57970794947419,1.70750104237254,1.66560037625007,1.40460407532213,1.54588964373247,1.48124134583132,1.58234541914558,1.40229533360225,1.58173794214916,1.67687377788236,1.68197545532986,1.56378785642693,1.48640798507798
"47",1.16433642783056,1.26812092683239,1.54591642028866,1.62527889257129,1.26659232337402,1.57104824652933,1.70050067753401,1.6546535557662,1.39765356072576,1.53691206915168,1.47209721994116,1.57652898419455,1.39513983044662,1.5717168394045,1.66622064792558,1.67526943107152,1.55529996464563,1.47767715946664
"48",1.16119745544935,1.26402653279644,1.53877063736174,1.61619201456462,1.26240196071918,1.56277076120139,1.69379636414,1.64421900052392,1.39102833748037,1.52835633686922,1.46340473848991,1.57098975412146,1.38832222645579,1.56218073691955,1.6560487680305,1.66885282116646,1.54719778608478,1.46936596690743
"49",1.15819617866514,1.26011035086391,1.53193547805404,1.60751265137921,1.25841009892023,1.5548506324401,1.68736751613742,1.63426499841226,1.38470557568449,1.52019372740949,1.45513262669845,1.56570662501307,1.38181882284258,1.55309673886057,1.64632898052861,1.6627052983376,1.53945520094618,1.46144549620837
"50",1.15532288359926,1.25636108813391,1.52538978129892,1.59921429698931,1.25460263581065,1.54726519427131,1.68119548667706,1.62476221003853,1.37866455525382,1.51239809767378,1.44725237664176,1.56066058884183,1.37560809519079,1.54443481907217,1.63703434471263,1.65680844973038,1.53204846036362,1.45388943019953
